State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/8/16,19:00,1/9/16,2:00,3.3,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/8/16,20:00,1/9/16,3:00,3.4,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/8/16,21:00,1/9/16,4:00,3,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/8/16,22:00,1/9/16,5:00,2.5,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/8/16,23:00,1/9/16,6:00,2.4,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/9/16,0:00,1/9/16,7:00,3.6,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/9/16,1:00,1/9/16,8:00,4.3,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/9/16,2:00,1/9/16,9:00,4.5,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/9/16,3:00,1/9/16,10:00,4.8,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/9/16,4:00,1/9/16,11:00,5,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/9/16,5:00,1/9/16,12:00,5.2,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/9/16,6:00,1/9/16,13:00,6.2,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/9/16,7:00,1/9/16,14:00,5.7,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/9/16,8:00,1/9/16,15:00,6.8,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/9/16,9:00,1/9/16,16:00,6.5,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/9/16,10:00,1/9/16,17:00,7.2,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/9/16,11:00,1/9/16,18:00,6.7,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/9/16,12:00,1/9/16,19:00,7.8,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/9/16,13:00,1/9/16,20:00,9.7,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/9/16,14:00,1/9/16,21:00,11.1,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/9/16,15:00,1/9/16,22:00,8.7,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/9/16,16:00,1/9/16,23:00,9.5,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/9/16,17:00,1/10/16,0:00,12.4,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/9/16,18:00,1/10/16,1:00,12.3,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/9/16,19:00,1/10/16,2:00,10.5,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/9/16,20:00,1/10/16,3:00,10,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/9/16,21:00,1/10/16,4:00,9.3,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/9/16,22:00,1/10/16,5:00,9.3,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
